Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8467    0.010    0.000    0.025    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2290(__init__)
     8296    0.008    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:434(_check_fill_value)
     8292    0.008    0.000    0.141    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2045(_process_unit_info)
     8291    0.008    0.000    0.012    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:672(getdata)
     8289    0.004    0.000    0.053    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:278(__array__)
     7008    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:868(get_rasterized)
     7008    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:888(get_agg_filter)
     6903    0.003    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:371(get_transform)
6893/3514    0.010    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2387(get_affine)
     6844    0.005    0.000    0.013    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/scale.py:117(get_transform)
     6824    0.004    0.000    0.017    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:819(get_transform)
